Restaurant Name,Business Email,City,Region/State,Country,Website,Source URL
Premier,restoranpremierdp81@gmail.com,Dnipro,Dnipropetrovsk Oblast,Ukraine,https://restoranpremier.com.ua/,https://restoranpremier.com.ua/
Pan Pizza,panpizza.ua@gmail.com,Vinnytsia,Vinnytsia Oblast,Ukraine,https://www.panpizza.in.ua/,https://www.panpizza.in.ua/contact/
Zatyshok,zatyshok.vinnica.ua@gmail.com,Vinnytsia,Vinnytsia Oblast,Ukraine,https://zatyshok.vn.ua/,https://zatyshok.vn.ua/
Mon Aristocrate,cv.aristokrat@gmail.com,Chernivtsi,Chernivtsi Oblast,Ukraine,https://aristocrate.group/en,https://aristocrate.group/en
Restaurant Lima,limaresturant@gmail.com,Batumi,Adjara,Georgia,,https://visitajara.com/en/restaurants/881
Rustaveli Restaurant,info@nbngroup.ge,Batumi,Adjara,Georgia,https://rustavelirestaurant.ge,https://rustavelirestaurant.ge/ge/contact
Marani,marani.batumi@gmail.com,Batumi,Adjara,Georgia,http://maranibatumi.ge/,http://maranibatumi.ge/
Old Boulevard,oldboulevard@mail.com,Batumi,Adjara,Georgia,,https://www.infobatumi.ge/en/places/old-boulevard-restaurant/
Doli Kutaisi,gamarjoba@dolirestaurant.com,Kutaisi,Imereti,Georgia,https://dolirestaurant.com,https://www.yell.ge/company.php?lan=eng&id=157572
KODO Modern Pan-Asian Cuisine,kodo.turkiye@gmail.com,Antalya,Antalya Province,Türkiye,https://kodoturkiye.com,https://kodoturkiye.com/contactseng
Bıçaksız Restoran,info@bicaksizrestoran.com,Bursa,Bursa Province,Türkiye,https://bicaksizrestoran.com/,https://bicaksizrestoran.com/
Sünger Pizza 1 (Turgutreis),ozcanefeturgut@hotmail.com,Bodrum,Muğla Province,Türkiye,https://sungerpizza1.eatbu.com,https://sungerpizza1.eatbu.com/?lang=en
Uzungöl Zeen Lounge Cafe Restaurant,info@zeenlounge.com,Trabzon,Trabzon Province,Türkiye,https://zeenlounge.com/,https://zeenlounge.com/
Balıkçım Restaurant,info@trabzonbalikcim.com,Trabzon,Trabzon Province,Türkiye,https://www.trabzonbalikcim.com/,https://www.trabzonbalikcim.com/
